product,measure,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Говядина,1 кг,98.97,97.60,98.25,99.70,101.77,107.76,108.28,108.85,109.96,109.79,109.14,109.75,110.06,109.08,110.56,111.48,116.17,121.38,125.58,126.05,126.85,127.71,129.16,129.98,130.59,130.69,130.98,131.62,138.02,141.68,148.21,151.55,152.75,153.49,153.69,154.52,155.77,157.08,159.93,164.11,174.61,175.71,177.73,176.18,173.00,172.10,170.90,172.43,177.56,179.46,179.77,176.83,177.27,178.48,176.86,174.43,174.34,174.50,174.11,174.38,177.33,179.62,184.86,186.44,186.44,188.35,189.78,196.44,207.50,218.06,224.58,238.04,251.59,260.68,261.85,259.80,264.39,274.97,289.56,296.62,307.09,301.05,302.39,307.38,312.65,311.02,303.26,299.18,295.73,292.03,291.17,291.40,290.57,294.04,294.30,292.59,291.22,290.65,290.25,292.07,295.38,297.55,299.21,303.37,309.69,311.12,310.07,317.62,318.26,320.84,320.70,324.67,330.45,333.08,334.89,340.45,344.50,349.61,351.20,352.62,354.39,353.01,348.00,344.94,338.48,331.90,336.38,341.88,342.29,341.95,335.27,324.96,313.04,308.33,293.90,285.90,294.70,299.13,296.84,293.12,296.47,297.78,295.38,297.54,299.11,299.10,300.02,299.82,301.47,304.70,309.59,314.75,316.58,325.13,323.47,324.25,326.83,326.21,325.97,324.39,323.51,324.15,323.74,322.94,323.47,323.45,323.65,324.83,323.62,320.49,319.86,320.96,322.87,324.78,326.00,331.73,337.49,341.75,343.49,345.96,346.65,349.53,355.95,360.53,360.55,358.58,355.78,358.75,373.39,396.05,419.87,435.53,440.08,444.33,447.70,449.53,453.18,461.53,469.00,479.26,480.43,478.63,478.69,483.00,478.61,473.65,476.30,480.79,482.95,499.94,517.49,527.96,536.30,538.04,540.68,543.20,544.38,545.72,544.78,542.76,549.14,552.08,549.54,550.84,549.58,550.43,546.02,542.83,542.78,546.54,546.88,549.51,,,,,,,,
Свинина,1 кг,105.29,109.60,112.06,116.97,121.47,126.74,128.78,129.83,137.08,134.74,131.33,131.74,130.66,123.02,119.25,122.42,122.34,123.15,125.51,125.65,126.38,126.75,126.60,126.21,126.05,125.47,120.35,117.93,123.25,122.84,135.68,144.36,143.82,145.35,147.75,147.87,148.36,149.99,151.43,155.11,162.60,167.94,169.66,171.47,169.61,170.94,172.84,178.21,184.47,193.08,196.84,201.04,202.93,202.02,203.73,203.14,211.95,213.30,209.98,209.08,207.73,209.68,211.58,214.50,214.28,212.65,211.43,209.05,209.32,213.82,213.81,214.09,214.46,214.20,213.79,213.82,214.07,214.58,219.61,222.08,225.89,229.47,231.23,231.61,245.90,261.37,263.41,262.89,263.24,263.84,263.09,266.11,265.73,280.59,285.76,285.94,283.91,290.45,295.31,294.33,293.62,293.00,291.21,291.21,298.07,304.80,305.56,308.86,307.70,307.85,308.46,311.00,304.56,302.45,303.65,305.08,306.84,307.77,310.76,312.55,318.15,317.49,316.15,311.30,307.15,300.83,301.21,301.76,303.91,304.45,302.59,309.10,303.66,298.54,295.21,294.82,295.65,296.31,293.53,295.92,295.45,295.15,295.90,299.15,298.66,300.43,300.66,301.16,301.43,296.87,297.29,295.45,294.74,294.40,294.75,295.87,295.73,296.25,296.54,296.35,295.32,295.10,292.10,291.57,290.23,288.94,290.41,290.52,290.74,289.99,291.44,291.31,291.65,289.63,285.64,286.26,288.13,297.53,303.05,304.63,304.13,305.54,306.02,307.30,306.84,307.02,308.24,309.43,312.20,316.53,318.75,322.47,322.13,336.51,352.80,355.58,362.17,375.19,388.78,395.23,394.94,396.32,397.42,396.63,397.45,399.30,402.23,404.10,405.54,405.64,405.80,435.60,483.87,485.26,484.55,487.37,488.68,487.74,491.42,501.56,496.75,492.51,491.46,490.41,487.44,482.68,480.52,480.31,481.24,484.59,488.02,487.96,,,,,,,,
Баранина,1 кг,119.17,120.17,120.42,121.36,128.25,131.40,127.76,126.78,125.87,123.97,123.75,125.28,127.49,126.31,128.72,130.51,136.97,145.88,151.00,148.32,143.53,138.57,140.86,142.80,144.67,145.07,150.03,153.55,173.67,175.20,176.11,175.20,171.17,171.79,173.14,169.12,173.54,176.13,178.25,188.10,204.60,205.35,204.22,194.14,188.02,184.97,183.75,179.66,189.90,193.81,194.03,190.93,192.88,193.94,189.02,183.65,179.21,181.60,179.88,178.47,183.01,184.98,187.74,190.79,192.16,194.45,196.79,200.10,204.96,210.26,213.34,227.05,248.18,262.00,267.29,266.62,273.42,287.21,298.04,298.97,294.31,292.42,290.30,291.22,293.00,293.34,291.12,293.44,306.12,308.49,305.31,302.91,301.85,296.53,286.23,282.54,283.65,284.64,287.96,291.72,298.73,301.49,300.04,297.85,295.54,291.58,289.10,292.87,300.95,308.61,312.61,315.05,326.65,338.05,336.68,335.02,333.40,330.79,331.60,327.86,328.92,328.64,326.48,327.60,331.59,331.43,327.39,322.41,319.31,312.73,303.91,295.76,290.68,288.90,280.82,274.28,282.43,288.22,289.36,285.02,283.05,282.21,279.27,280.16,282.57,284.21,290.64,293.40,298.19,303.78,304.12,301.22,300.19,300.34,297.55,294.60,297.96,297.84,299.79,300.05,303.91,305.29,306.96,306.33,304.19,299.47,297.95,298.05,299.55,299.64,302.99,304.55,310.01,311.01,310.88,312.19,312.16,314.69,306.11,307.76,312.11,322.69,340.94,350.13,350.45,348.42,345.59,350.91,364.08,386.58,397.02,411.95,427.91,437.83,442.93,447.33,470.48,485.17,492.01,492.77,492.92,491.38,483.88,473.82,466.97,466.48,475.71,484.14,509.33,527.55,533.18,536.51,534.72,531.75,529.96,527.85,527.97,528.80,536.62,547.97,579.25,592.94,583.83,581.18,577.35,570.38,560.44,553.85,550.86,552.02,552.79,556.31,,,,,,,,
Конина,1 кг,102.30,102.00,103.34,104.10,104.39,111.67,116.05,116.03,114.85,106.47,113.46,112.95,113.09,112.92,120.15,123.71,126.32,129.81,131.99,131.99,131.99,137.87,140.22,142.12,142.62,142.44,142.81,143.06,151.41,150.76,190.22,187.81,188.73,189.11,189.62,192.17,187.35,184.98,185.08,172.44,175.84,181.64,185.16,183.64,182.13,182.46,181.93,177.33,181.54,180.54,180.64,180.75,181.82,181.95,187.39,180.53,175.36,180.07,182.39,177.65,176.93,176.96,178.89,182.99,182.74,180.52,182.02,187.05,196.27,199.89,206.01,215.68,223.28,227.01,252.71,255.76,263.56,264.96,267.21,294.22,324.81,338.38,341.40,342.78,342.58,338.60,337.15,335.08,337.61,337.90,334.03,342.42,341.96,336.71,323.82,321.97,318.11,312.92,310.16,306.24,309.40,309.40,311.23,320.53,318.71,317.50,314.04,313.02,316.24,314.38,317.15,317.63,330.08,341.39,350.57,348.79,343.88,339.74,342.49,343.75,346.18,351.00,346.51,345.33,345.16,339.13,338.41,337.42,339.52,330.59,328.05,317.69,306.59,305.07,298.64,297.62,311.12,315.34,317.51,310.78,303.75,295.90,295.18,292.03,292.84,293.58,294.84,299.71,304.88,308.40,306.42,306.37,308.73,312.51,310.56,312.20,308.53,310.22,306.53,299.85,304.70,304.87,309.50,303.24,308.46,314.47,312.51,304.78,301.90,296.54,297.88,297.29,302.09,298.07,297.98,298.06,299.02,299.07,300.47,301.74,302.43,303.59,316.15,327.29,327.47,322.35,320.35,323.21,329.06,336.97,348.18,359.60,372.80,375.98,381.44,380.20,384.31,398.93,401.94,400.09,407.70,412.27,414.37,406.40,408.32,403.44,419.50,424.16,431.60,449.50,465.85,464.72,470.73,476.68,477.89,467.76,461.53,454.28,457.79,467.20,485.22,484.18,489.42,496.84,502.35,499.97,491.38,483.10,482.28,481.25,481.60,482.57,,,,,,,,
Колбаса вареная,1 кг,112.12,113.60,116.07,117.04,117.63,120.05,120.36,120.46,121.18,123.18,123.56,124.01,124.08,124.23,125.27,125.76,125.77,125.76,126.07,126.00,126.71,126.58,126.65,127.26,127.58,127.51,127.50,127.70,127.68,127.60,130.81,139.04,152.77,157.97,158.42,158.61,158.61,158.74,160.61,161.76,173.24,177.23,178.17,179.48,180.11,180.32,181.98,186.12,187.80,190.95,191.22,191.56,192.49,193.48,193.52,193.73,194.08,195.06,195.60,195.53,194.36,195.33,195.81,195.71,197.53,198.34,199.73,202.88,200.92,202.55,203.65,207.27,209.79,211.76,218.25,226.42,227.45,229.04,231.92,233.66,236.86,238.52,239.53,240.74,243.71,242.83,242.88,241.93,240.72,240.55,241.20,241.26,241.40,245.29,246.61,249.10,250.42,251.17,251.39,252.10,252.43,253.75,257.40,256.99,260.31,256.17,255.53,256.16,256.19,258.02,263.84,273.45,273.58,273.52,274.26,274.65,276.01,277.84,279.28,294.63,306.81,306.67,304.41,301.01,300.25,300.34,300.31,303.78,311.28,311.72,315.55,321.22,317.50,316.98,318.44,317.43,314.85,313.74,314.53,315.38,315.58,314.51,313.39,300.08,291.68,291.49,290.38,312.02,315.40,314.63,314.35,314.92,315.39,316.76,320.38,324.52,324.60,324.60,324.74,325.93,327.19,327.59,324.84,324.15,323.51,325.16,326.30,327.10,327.41,327.43,326.90,325.97,325.62,324.01,324.29,324.84,327.61,329.76,328.40,328.21,328.24,328.38,329.30,330.43,329.58,328.92,328.96,329.09,329.79,332.37,333.09,347.56,353.69,360.12,362.06,362.96,366.93,379.66,386.71,395.08,402.00,408.19,410.79,421.14,423.86,427.12,434.50,438.56,441.34,446.95,453.34,453.61,456.72,457.20,459.01,466.04,464.03,474.30,478.02,479.04,479.15,483.42,483.48,483.91,484.81,484.34,481.94,482.19,483.30,482.40,482.99,484.23,,,,,,,,
Колбаса полукопченая,1 кг,127.61,131.00,132.17,131.46,131.88,132.33,132.81,132.85,134.21,139.27,139.41,139.36,140.20,140.68,143.34,144.46,144.48,144.53,145.70,145.80,145.98,145.93,145.86,146.11,146.57,146.64,146.77,146.90,147.28,147.27,152.74,157.62,171.97,175.94,176.05,176.51,177.18,177.53,179.59,180.15,193.31,197.81,200.04,202.60,202.93,203.21,204.25,209.08,213.96,218.38,218.48,218.55,219.13,218.18,218.30,218.49,218.64,219.99,221.06,222.14,222.99,224.73,225.50,226.85,227.89,228.51,229.15,230.40,230.89,235.55,238.10,240.57,243.56,245.31,245.55,252.06,253.98,255.05,262.96,267.71,269.18,269.32,269.97,271.54,273.94,273.29,273.15,273.37,273.35,273.50,274.22,274.33,274.42,281.16,287.67,287.81,290.06,290.06,290.05,291.00,293.83,298.08,305.78,305.84,307.04,306.55,305.22,307.35,306.56,305.94,311.28,310.60,310.94,311.33,313.59,316.32,317.71,318.61,320.43,340.10,354.35,353.68,354.01,353.10,346.46,337.30,337.27,337.75,342.96,345.63,346.77,354.96,358.36,356.59,355.56,354.39,351.80,350.81,352.88,352.79,352.13,352.24,355.99,364.47,357.85,358.92,358.32,362.77,365.62,366.22,366.12,366.49,366.51,366.29,365.86,366.70,366.86,367.08,368.54,368.48,368.74,369.16,370.10,370.35,370.12,371.00,370.51,371.07,371.74,372.37,372.42,371.66,370.66,369.46,369.82,370.09,371.39,378.25,378.65,381.87,381.97,381.94,382.41,383.41,382.91,383.11,383.44,383.90,384.71,386.24,386.49,394.15,396.65,398.65,399.84,397.72,402.60,407.76,411.76,416.58,419.06,424.10,423.91,434.70,439.09,441.16,456.40,458.14,456.26,460.25,463.16,463.41,461.70,461.68,462.67,468.53,466.43,473.60,474.25,469.35,469.73,470.00,470.91,474.27,477.86,480.26,481.36,481.71,480.36,480.50,482.25,483.79,,,,,,,,
"Сосиски, сардельки",1 кг,104.77,104.82,105.04,105.83,105.86,106.09,106.27,106.30,108.36,112.60,112.60,112.71,113.30,115.67,116.12,116.08,116.08,116.21,117.11,117.10,117.18,117.11,117.10,117.11,117.07,117.01,117.14,117.20,116.38,116.04,120.04,127.88,138.78,146.11,146.17,147.12,148.00,149.85,150.56,153.30,159.41,163.90,164.80,165.46,165.85,165.99,166.87,171.67,173.72,179.24,178.81,178.83,178.85,178.85,179.54,179.34,178.26,178.68,179.99,180.54,181.06,182.49,184.66,186.22,185.36,188.39,189.02,190.00,192.83,193.00,194.18,195.72,197.60,197.99,199.66,201.50,202.16,204.66,208.86,209.53,211.40,212.17,214.55,216.24,217.38,215.69,215.11,214.44,213.89,211.72,211.32,211.53,212.24,215.29,218.04,218.53,217.98,218.13,220.78,223.94,224.73,226.40,230.45,230.95,230.92,236.36,253.84,257.31,253.14,251.57,257.55,259.89,261.44,260.70,261.99,263.16,262.99,264.69,266.75,275.87,279.08,280.75,278.78,276.89,273.14,272.37,273.48,273.54,278.61,280.92,292.23,301.26,300.22,299.07,295.30,292.66,291.67,291.50,291.40,294.04,295.92,297.00,296.40,288.68,282.09,280.69,277.54,276.36,277.57,279.27,281.03,281.62,282.25,283.03,282.66,283.73,284.21,284.56,284.26,283.40,283.55,283.69,283.22,283.57,282.88,282.70,283.79,284.29,284.30,285.16,286.18,287.08,287.65,289.55,290.64,291.20,294.76,299.27,299.80,299.56,299.94,300.22,300.53,300.75,301.69,302.07,302.15,302.64,303.57,304.47,304.84,307.74,310.01,311.58,313.67,314.49,318.88,322.72,327.97,331.03,333.24,337.59,339.27,345.19,348.56,350.89,355.36,357.28,359.45,367.07,372.12,374.53,376.19,377.12,377.90,387.65,388.87,397.77,399.28,402.57,402.31,402.76,403.87,405.39,406.58,407.73,407.91,409.16,410.50,418.50,422.61,424.13,,,,,,,,
Рыба свежая и охлажденная,1 кг,55.60,58.88,63.38,67.41,68.87,68.20,64.78,65.13,64.55,63.21,64.35,67.33,69.86,70.40,81.35,76.78,79.86,81.75,78.32,76.08,76.57,77.16,76.21,79.43,79.80,80.67,80.24,79.97,85.70,89.20,90.09,90.67,92.02,95.37,95.53,94.86,97.02,97.00,98.83,101.42,102.09,101.40,99.32,97.74,100.09,101.18,115.51,122.13,123.52,124.84,124.79,125.37,125.73,123.73,121.38,120.84,119.72,120.40,120.92,121.73,126.19,134.63,134.76,135.29,137.22,137.49,141.50,144.72,144.92,150.21,153.61,157.46,158.75,159.12,161.23,160.50,156.64,156.28,157.67,157.72,159.10,164.28,171.30,174.73,178.01,176.64,176.16,182.23,185.50,184.68,191.15,197.67,209.92,226.50,232.40,232.41,223.54,223.69,224.10,223.45,223.52,220.75,213.11,213.47,216.26,215.05,215.98,219.49,219.01,217.15,219.18,194.29,192.02,194.78,183.84,182.49,183.19,184.41,184.89,188.46,190.74,192.16,190.54,195.76,196.46,196.44,198.40,200.47,200.32,198.55,196.83,191.38,204.18,205.52,201.97,198.62,200.26,201.43,203.04,203.33,198.71,193.91,197.11,200.05,183.14,191.71,196.61,206.92,205.59,201.94,203.07,204.04,204.39,205.58,200.69,198.81,203.83,196.12,194.39,195.15,199.88,199.72,200.13,199.30,199.12,199.11,199.06,198.35,197.47,197.97,199.23,200.71,200.32,201.92,202.68,202.17,201.59,207.65,220.97,222.29,221.84,225.31,225.69,227.21,227.51,227.52,227.49,227.42,226.24,226.33,227.24,228.95,227.35,227.07,228.16,230.20,236.24,242.87,247.63,251.42,255.70,248.87,243.16,250.79,266.52,266.77,271.75,262.04,258.22,271.54,271.55,279.79,275.95,289.38,313.43,332.55,343.77,361.90,370.58,353.37,352.30,360.09,358.67,362.21,363.74,369.17,363.37,363.68,367.91,373.17,375.01,387.53,,,,,,,,
Рыба замороженная неразделанная,1 кг,70.67,75.67,75.67,88.33,88.33,88.75,90.00,90.00,90.00,83.33,85.00,90.00,90.00,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,92.50,92.50,92.50,92.50,92.50,92.50,92.50,90.34,89.89,89.89,89.89,89.89,93.79,93.93,93.93,93.93,93.93,97.65,101.84,101.84,104.23,102.03,99.90,99.90,101.61,104.29,109.74,109.74,110.11,111.54,112.36,112.36,112.36,110.23,110.23,110.19,110.19,110.19,110.62,113.03,116.58,116.58,116.98,117.94,117.93,134.62,147.39,146.29,146.01,137.31,134.47,129.80,148.71,152.30,150.23,148.52,149.34,148.48,148.23,154.41,162.02,163.66,166.10,169.37,170.47,171.35,166.85,164.34,162.48,156.63,155.99,156.21,158.15,158.79,158.46,152.10,152.27,155.60,156.34,156.45,156.48,156.51,156.56,156.86,156.97,156.92,157.69,161.22,165.51,178.90,178.88,178.85,180.66,177.33,175.77,176.76,178.14,178.66,182.11,187.93,184.74,182.16,190.07,190.77,191.05,191.02,191.22,194.47,195.57,195.29,191.20,194.49,194.37,190.86,187.66,185.71,184.11,184.59,185.72,177.86,175.49,175.34,178.70,181.46,176.23,177.05,181.67,183.10,184.66,186.17,183.77,183.02,185.61,186.54,189.35,191.33,191.65,192.59,192.46,197.62,197.29,199.30,197.94,201.36,201.65,203.80,206.43,207.40,206.01,205.61,206.52,206.75,207.11,210.09,211.39,214.02,218.09,221.04,220.69,208.16,204.54,203.16,204.65,205.72,205.39,204.11,204.40,206.55,206.61,206.87,213.65,220.47,220.32,219.89,220.44,220.48,227.44,229.27,230.38,232.51,234.64,230.31,225.45,229.66,227.42,227.47,229.54,225.36,224.20,233.86,237.91,252.31,263.91,281.11,285.81,280.77,282.30,278.33,272.35,272.81,278.38,288.04,286.84,283.92,281.79,278.72,279.64,284.47,288.84,292.33,300.14,,,,,,,,
Сельдь соленая,1 кг,76.65,77.50,75.53,75.71,75.16,76.56,76.45,74.50,73.24,73.75,73.35,72.98,72.61,73.10,67.81,66.98,66.98,67.01,63.69,64.26,65.36,64.81,64.84,69.64,75.01,69.04,69.19,70.02,73.73,74.52,74.47,73.51,74.11,75.29,75.55,76.29,79.18,83.25,83.41,83.73,84.75,84.10,82.77,81.74,81.74,84.36,85.07,85.47,86.02,85.77,85.30,85.06,85.06,84.62,82.97,82.50,81.10,81.44,81.61,83.77,86.18,87.49,88.74,90.66,91.27,91.27,90.76,90.70,91.03,91.94,92.99,95.49,97.77,97.98,99.87,102.04,104.19,107.45,109.55,111.46,110.47,112.43,114.86,121.94,125.83,125.80,128.62,129.30,128.87,129.23,128.63,128.13,127.84,132.51,133.69,133.68,134.47,135.64,139.56,139.58,139.18,139.37,140.28,140.17,136.67,137.66,141.64,142.11,142.23,140.08,140.95,143.82,144.43,144.33,144.86,147.67,148.22,149.41,150.16,150.44,148.79,150.51,149.63,152.33,153.29,151.31,152.80,155.29,158.66,160.09,164.88,166.18,169.42,169.49,168.30,166.65,165.30,164.76,163.87,163.27,162.51,161.97,159.05,157.01,148.99,148.57,158.22,164.11,163.00,166.20,167.88,162.22,160.79,159.74,157.70,156.45,160.71,147.50,144.72,147.02,150.32,150.65,153.06,154.61,160.37,157.55,157.87,155.99,154.83,156.50,153.13,152.37,156.92,155.61,161.14,161.22,160.19,159.47,160.78,161.36,159.42,158.03,158.26,158.65,158.52,158.33,158.33,158.41,158.41,158.84,160.13,161.66,161.68,168.34,172.54,176.89,176.61,173.90,173.49,172.29,174.94,179.52,181.30,190.57,202.17,207.59,221.56,233.92,231.47,240.39,236.86,234.84,241.08,241.25,238.84,241.88,246.85,249.33,248.32,251.09,253.41,251.74,253.88,253.63,251.77,251.44,252.96,253.16,252.33,259.49,261.10,262.36,,,,,,,,
"Кефир, айран",1 литр,20.39,20.20,19.94,18.05,17.62,16.89,16.39,16.60,17.42,18.73,19.01,20.18,20.86,21.90,21.87,21.41,21.29,21.29,20.94,20.88,20.92,20.94,21.06,21.64,22.99,23.01,23.21,22.66,21.43,21.26,21.18,23.20,25.93,29.11,29.90,30.24,31.47,32.43,32.79,33.21,33.51,33.78,34.38,35.03,35.64,35.79,36.36,39.47,39.82,39.84,38.61,38.41,38.30,38.30,37.71,37.48,37.07,37.06,37.16,37.53,37.63,37.63,37.31,37.66,37.07,36.18,36.51,36.84,37.25,38.60,39.75,41.44,43.19,43.63,43.24,40.99,40.58,40.16,40.21,40.33,40.96,41.13,41.58,42.49,43.07,43.07,42.09,41.57,41.32,40.24,37.89,37.70,40.54,44.92,45.37,46.64,46.70,46.53,46.25,45.60,44.80,43.51,43.27,43.14,41.11,41.92,42.06,42.55,42.70,43.58,43.51,42.74,42.29,42.34,43.08,43.68,44.26,45.37,46.42,47.81,48.03,48.28,47.59,46.11,45.40,44.62,44.53,44.68,44.90,45.04,45.51,46.42,46.74,46.65,45.85,44.89,43.91,43.45,43.14,43.04,43.47,44.59,45.62,45.70,46.47,46.47,45.98,45.12,44.49,44.05,44.07,44.57,44.55,44.92,45.08,45.53,46.13,46.26,45.81,45.45,45.31,44.82,44.61,44.48,45.11,45.38,45.83,46.50,46.78,46.77,52.57,45.61,45.50,45.28,45.64,46.03,46.41,46.76,47.18,48.29,49.03,49.16,49.41,50.17,50.04,49.74,49.68,49.77,49.46,49.78,50.02,50.63,50.92,51.13,51.32,51.12,50.95,51.12,51.55,51.69,52.32,53.51,54.36,56.62,58.09,59.55,63.81,65.67,66.97,68.08,68.40,68.88,69.98,70.65,71.31,73.15,75.64,76.51,76.22,75.93,75.17,73.61,73.54,73.80,74.21,74.52,75.06,75.68,76.50,77.08,77.22,78.15,,,,,,,,
Сметана,1 литр,96.09,98.77,97.46,95.42,92.48,89.16,86.71,89.99,93.61,99.74,104.41,105.65,108.66,113.96,115.88,112.13,108.92,102.86,98.19,98.56,98.92,109.14,113.13,118.72,124.45,126.27,128.30,127.32,121.50,121.19,120.22,126.86,142.98,160.83,167.39,170.23,176.81,179.64,180.82,181.32,181.11,180.55,180.96,183.28,185.98,186.96,188.74,193.61,196.38,196.96,196.25,193.98,192.71,190.11,187.16,187.15,187.12,184.78,184.94,186.39,188.60,190.16,184.54,184.30,181.96,181.13,181.00,183.28,185.06,194.29,200.79,210.69,214.53,214.74,216.12,215.62,209.26,208.88,208.99,209.91,193.08,193.26,193.54,197.16,197.00,198.42,196.18,194.03,192.80,190.55,185.89,186.36,189.11,197.86,198.04,204.81,206.76,206.91,206.59,210.53,212.72,208.86,209.03,208.36,195.52,195.96,193.55,199.38,208.30,210.29,212.54,214.07,210.27,212.97,216.52,213.85,218.20,218.58,215.00,222.81,225.36,221.99,220.99,218.39,214.20,206.59,205.61,206.03,209.10,212.98,214.92,212.95,216.47,215.16,214.06,207.98,205.73,205.14,204.13,203.56,202.97,204.27,205.25,208.85,208.17,207.29,207.19,206.36,206.19,203.29,202.42,201.99,202.44,203.90,205.59,209.27,209.56,211.82,210.07,206.60,204.40,203.54,203.34,204.83,206.57,209.58,211.42,211.34,214.58,211.95,207.43,206.49,206.28,206.97,206.58,205.59,205.16,206.13,207.79,210.07,210.61,210.55,213.03,212.51,210.83,207.49,205.61,205.02,206.16,207.42,213.74,218.41,220.03,220.27,219.83,215.56,215.35,217.29,217.36,218.29,221.74,232.42,238.69,250.39,260.30,278.92,292.88,300.44,296.34,291.27,290.69,291.40,297.74,306.78,313.88,320.55,320.89,326.28,327.51,328.52,327.67,326.74,327.58,327.75,329.92,331.35,333.31,334.11,336.42,337.85,340.20,338.44,,,,,,,,
Сливки,1 литр,53.24,55.08,55.47,53.31,52.83,51.96,51.77,55.12,56.18,60.47,63.70,64.62,65.01,64.37,64.88,60.42,59.68,59.00,58.58,59.08,59.75,60.19,61.04,62.79,81.24,82.57,82.89,83.80,82.20,82.15,82.34,84.15,98.70,102.13,101.70,101.77,109.35,113.03,118.35,120.50,123.24,125.08,125.60,127.38,127.97,128.39,128.72,138.51,138.67,137.57,137.67,138.45,138.45,137.36,137.30,137.30,137.28,137.28,137.37,138.33,138.47,138.88,138.60,138.47,137.80,137.34,138.73,137.36,137.52,138.97,141.48,144.64,146.68,154.98,154.38,154.19,152.48,150.28,150.53,144.21,138.27,138.23,138.32,139.96,141.04,140.62,140.03,137.86,136.67,134.90,131.26,131.35,132.21,144.89,146.30,148.17,148.93,149.02,148.10,146.71,146.54,144.88,144.15,143.81,144.90,150.22,156.21,163.05,165.62,171.38,177.98,177.99,177.83,178.13,184.80,187.66,190.84,197.08,201.66,205.36,201.98,200.67,197.28,197.64,197.58,196.72,196.65,195.80,195.89,195.93,195.99,196.54,200.83,200.39,199.01,198.84,198.94,199.19,199.52,199.16,198.74,198.86,199.32,199.68,192.99,192.96,193.15,192.77,192.63,191.85,193.02,194.03,193.38,193.68,192.44,193.03,192.80,193.46,194.66,196.85,196.96,196.68,197.10,199.44,199.47,200.79,199.69,199.33,201.86,204.16,201.15,201.25,199.89,197.64,196.52,196.53,196.37,197.06,196.36,194.97,195.46,196.41,195.43,195.68,197.00,197.26,197.54,197.67,197.73,198.53,199.51,200.59,200.64,202.20,204.61,205.25,205.77,207.90,209.42,210.67,211.89,213.52,214.32,217.67,225.61,246.89,254.39,262.67,267.30,273.11,277.32,279.38,282.13,285.08,286.12,290.86,299.99,309.03,311.43,313.49,314.45,315.48,315.08,319.31,321.37,322.48,326.50,330.00,331.03,335.59,338.58,339.49,,,,,,,,
